"id","status","creative type","creative title","creative description","creative tag","width","height","visible to publishers","link text","destination url","alt text","image source"
"","1","3","soco solum se 1of2","SOLUM men's body care. Product and lifestyle photography.","SOLUM Shoot","1280","1600","","","https://bysolum.co.uk/buy","SOLUM men's body care ritual kit","https://d2ni3owln6t6zz.cloudfront.net/creatives/soco-solum-se-1of2.jpg"
"","1","3","soco solum se 2of2","SOLUM men's body care. Product and lifestyle photography.","SOLUM Shoot","1280","1600","","","https://bysolum.co.uk/buy","SOLUM men's body care ritual kit","https://d2ni3owln6t6zz.cloudfront.net/creatives/soco-solum-se-2of2.jpg"
"","1","3","soco solum se","SOLUM men's body care. Product and lifestyle photography.","SOLUM Shoot","1280","1600","","","https://bysolum.co.uk/buy","SOLUM men's body care ritual kit","https://d2ni3owln6t6zz.cloudfront.net/creatives/soco-solum-se.jpg"
"","1","3","SOLUM Outer Box 10","SOLUM men's body care. Product and lifestyle photography.","SOLUM Shoot","1280","1600","","","https://bysolum.co.uk/buy","SOLUM men's body care ritual kit","https://d2ni3owln6t6zz.cloudfront.net/creatives/solum-outerbox-10.jpg"
"","1","3","SOLUM Outer Box 11","SOLUM men's body care. Product and lifestyle photography.","SOLUM Shoot","1280","1600","","","https://bysolum.co.uk/buy","SOLUM men's body care ritual kit","https://d2ni3owln6t6zz.cloudfront.net/creatives/solum-outerbox-11.jpg"
"","1","3","SOLUM Outer Box 12","SOLUM men's body care. Product and lifestyle photography.","SOLUM Shoot","1280","1600","","","https://bysolum.co.uk/buy","SOLUM men's body care ritual kit","https://d2ni3owln6t6zz.cloudfront.net/creatives/solum-outerbox-12.jpg"
"","1","3","SOLUM Outer Box 13","SOLUM men's body care. Product and lifestyle photography.","SOLUM Shoot","1280","1600","","","https://bysolum.co.uk/buy","SOLUM men's body care ritual kit","https://d2ni3owln6t6zz.cloudfront.net/creatives/solum-outerbox-13.jpg"
"","1","3","SOLUM Outer Box 14","SOLUM men's body care. Product and lifestyle photography.","SOLUM Shoot","1280","1600","","","https://bysolum.co.uk/buy","SOLUM men's body care ritual kit","https://d2ni3owln6t6zz.cloudfront.net/creatives/solum-outerbox-14.jpg"
"","1","3","SOLUM Outer Box 15","SOLUM men's body care. Product and lifestyle photography.","SOLUM Shoot","1280","1600","","","https://bysolum.co.uk/buy","SOLUM men's body care ritual kit","https://d2ni3owln6t6zz.cloudfront.net/creatives/solum-outerbox-15.jpg"
"","1","3","SOLUM Outer Box 16","SOLUM men's body care. Product and lifestyle photography.","SOLUM Shoot","1280","1600","","","https://bysolum.co.uk/buy","SOLUM men's body care ritual kit","https://d2ni3owln6t6zz.cloudfront.net/creatives/solum-outerbox-16.jpg"
"","1","3","SOLUM Outer Box 17","SOLUM men's body care. Product and lifestyle photography.","SOLUM Shoot","1280","1600","","","https://bysolum.co.uk/buy","SOLUM men's body care ritual kit","https://d2ni3owln6t6zz.cloudfront.net/creatives/solum-outerbox-17.jpg"
"","1","3","SOLUM Outer Box 18","SOLUM men's body care. Product and lifestyle photography.","SOLUM Shoot","1067","1600","","","https://bysolum.co.uk/buy","SOLUM men's body care ritual kit","https://d2ni3owln6t6zz.cloudfront.net/creatives/solum-outerbox-18.jpg"
"","1","3","SOLUM Outer Box 19","SOLUM men's body care. Product and lifestyle photography.","SOLUM Shoot","1280","1600","","","https://bysolum.co.uk/buy","SOLUM men's body care ritual kit","https://d2ni3owln6t6zz.cloudfront.net/creatives/solum-outerbox-19.jpg"
